Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
Bowe v. United States,24-5438,10/14/25,01/09/26,CA11,Vacate and Remand,Sotomayor,(5-4)
Barrett v. United States,24-5774,10/07/25,01/14/26,CA2,Reverse and Remand,Jackson,(9-0)
Bost v. IL Bd. Of Elections,24-568,10/08/25,01/14/26,CA7,Reverse and Remand,Roberts,(7-2)
Case v. Montana,24-624,10/15/25,01/14/26,SCMT,Affirm,Kagan,(9-0)
Berk v. Choy,24-440,10/06/25,01/20/26,CA3,Reverse and Remand,Barrett,(9-0)
Coney Island Auto Parts Inc. v. Burton,24-808,11/04/25,01/20/26,CA6,Affirm,Alito,(9-0)
Cox Communications v. Sony Music Entertainment,24-171,12/01/25,03/25/26,CA4,Reverse and Remand,Thomas,(9-0)
Chiles v. Salazar,24-539,10/07/25,03/31/26,CA10,Reverse and Remand,Gorsuch,(8-1)
Chevron USA Inc. v. Plaquemines Parish,24-813,01/12/26,04/17/26,CA5,Vacate and Remand,Thomas,(8-0)
District of Columbia v. R.W.,25-248, ,04/20/26,DDC,Reverse and Remand,Per Curiam,(7-2)
Clark v. Sweeney,25-52, ,11/24/25,CA4,Reverse and Remand,Per Curiam,(9-0)
Doe v. Dynamic Physical Therapy LLC,25-180, ,12/08/25,CALA,GRR,Per Curiam,(9-0)
