Case,Attorney,Docket,total_words
Galette v. NJ Transit Corp.,Michael B. Kimberly,24-1021,3580
Galette v. NJ Transit Corp.,Michael Zuckerman,24-1021,5586
Wolford v. Lopez,Alan A. Beck,24-1046,1994
Wolford v. Lopez,Neal Kumar Katyal,24-1046,4424
Wolford v. Lopez,Sarah M. Harris,24-1046,4006
Little v. Hecox,Alan M. Hurst,24-38,3886
Little v. Hecox,Hashim M. Mooppan,24-38,2725
Little v. Hecox,Kathleen R. Hartnett,24-38,5901
West Virginia v. B.P.J.,Hashim M. Mooppan,24-43,2115
West Virginia v. B.P.J.,Joshua A. Block,24-43,3985
West Virginia v. B.P.J.,Michael R. Williams,24-43,3931
Chevron USA Inc. v. Plaquemines Parish,Aaron Z. Roper,24-813,2451
Chevron USA Inc. v. Plaquemines Parish,J. Benjamin Aguinaga,24-813,3904
Chevron USA Inc. v. Plaquemines Parish,Paul D. Clement,24-813,5050
