"Case","Docket","Attorney","Time Speaking"
"FDA v. Wages and White Lion Investments","23-1038","Curtis E. Gannon",31.92
"FDA v. Wages and White Lion Investments","23-1038","Eric N. Heyer",16.36
"United States v. Skrmetti","23-477","Chase B. Strangio",19.1
"United States v. Skrmetti","23-477","Elizabeth B. Prelogar",38.69
"United States v. Skrmetti","23-477","J. Matthew Rice",16.74
"United States v. Miller","23-824","Lisa S. Blatt",14.32
"United States v. Miller","23-824","Yaira Dubin",21.11
"Feliciano v. Department of Transportation.","23-861","Andrew T. Tutt",29.27
"Feliciano v. Department of Transportation.","23-861","Nicole F. Reaves",18.44
"Hungary v. Simon","23-867","Joshua S. Glasgow",12.99
"Hungary v. Simon","23-867","Shay Dvoretzky",18.36
"Hungary v. Simon","23-867","Sopan Joshi",15.95
"Dewberry Group, Inc. v. Dewberry Engineers Inc.","23-900","Elbert Lin",16.25
"Dewberry Group, Inc. v. Dewberry Engineers Inc.","23-900","Nicholas S. Crown",11.18
"Dewberry Group, Inc. v. Dewberry Engineers Inc.","23-900","Thomas G. Hungar",22.36
"Kousisis v. United States","23-909","Eric J. Feigin",28.21
"Kousisis v. United States","23-909","Jeffrey L. Fisher",28.85
"Seven County Infrastructure Coalition v. Eagle County","23-975","Edwin S. Kneedler",19.72
"Seven County Infrastructure Coalition v. Eagle County","23-975","Paul D. Clement",28.96
"Seven County Infrastructure Coalition v. Eagle County","23-975","William M. Jay",25.41
