term,justice,Majority,Concurrence,Dissent
2021,Alito,6,6,4
2022,Alito,6,4,7
2023,Alito,4,8,4
2024,Alito,3,3,2
2021,Barrett,6,4,2
2022,Barrett,6,5,4
2023,Barrett,6,7,2
2024,Barrett,2,1,2
2021,Breyer,6,1,9
2021,Gorsuch,6,6,8
2022,Gorsuch,6,12,3
2023,Gorsuch,6,10,6
2024,Gorsuch,3,2,2
2022,Jackson,6,5,5
2023,Jackson,5,12,8
2024,Jackson,2,3,5
2021,Kagan,6,2,9
2022,Kagan,6,1,4
2023,Kagan,7,3,2
2024,Kagan,3,0,1
2021,Kavanaugh,5,7,2
2022,Kavanaugh,7,6,2
2023,Kavanaugh,6,7,3
2024,Kavanaugh,2,3,1
2021,Roberts,8,2,2
2022,Roberts,6,0,1
2023,Roberts,7,1,1
2024,Roberts,2,0,0
2021,Sotomayor,7,4,12
2022,Sotomayor,5,6,4
2023,Sotomayor,7,4,7
2024,Sotomayor,3,4,1
2021,Thomas,7,7,8
2022,Thomas,6,7,9
2023,Thomas,6,12,5
2024,Thomas,2,1,7
